Offense,Crime Type,ZIP,LAT,LNG
Auto Theft,Non-Violent,77021,29.71121351,-95.38101631
Auto Theft,Non-Violent,77546,29.54335561,-95.14572497
Theft,Non-Violent,77071,29.64418842,-95.50830181
Theft,Non-Violent,77036,29.67530907,-95.55065845
Auto Theft,Non-Violent,77075,29.65198972,-95.26371624
Theft,Non-Violent,77093,29.85357396,-95.34912733
Auto Theft,Non-Violent,77040,29.85995146,-95.52596051
Theft,Non-Violent,77022,29.82970922,-95.38120632
Theft,Non-Violent,77063,29.73100701,-95.5140955
Theft,Non-Violent,77339,30.06908165,-95.24373818
Burglary,Non-Violent,77022,29.82297263,-95.36548614
Auto Theft,Non-Violent,77036,29.67948472,-95.55598566
Theft,Non-Violent,77096,29.68915642,-95.45753305
Burglary,Non-Violent,77004,29.72958888,-95.35048944
Theft,Non-Violent,77077,29.73585102,-95.62488887
Auto Theft,Non-Violent,77056,29.75166459,-95.46074579
Auto Theft,Non-Violent,77036,29.67948215,-95.53866205
Theft,Non-Violent,77040,29.85115568,-95.50880613
Burglary,Non-Violent,77006,29.74433565,-95.39264416
Auto Theft,Non-Violent,77016,29.83102564,-95.3196833
Aggravated Assault,Violent,77007,29.78150729,-95.39879647
Burglary,Non-Violent,77017,29.68737206,-95.27724618
Theft,Non-Violent,77056,29.7405087,-95.46655381
Theft,Non-Violent,77003,29.74926786,-95.35583701
Theft,Non-Violent,77070,29.96340414,-95.54983635
Aggravated Assault,Violent,77016,29.84053785,-95.31891834
Theft,Non-Violent,77040,29.86278196,-95.50608821
Theft,Non-Violent,77022,29.82897849,-95.38082655
Theft,Non-Violent,77054,29.68322971,-95.40321324
Burglary,Non-Violent,77042,29.73441147,-95.56387197
Theft,Non-Violent,77036,29.71428772,-95.50246052
Theft,Non-Violent,77546,29.54335561,-95.14572497
Theft,Non-Violent,77006,29.74815754,-95.38901352
Theft,Non-Violent,,29.79299602,-95.40343225
Burglary,Non-Violent,77071,29.67366315,-95.51407781
Theft,Non-Violent,77084,29.78703417,-95.6706965
Theft,Non-Violent,77008,29.78759988,-95.40982725
Aggravated Assault,Violent,77028,29.85005877,-95.2623878
Auto Theft,Non-Violent,77063,29.72115038,-95.52512345
Burglary,Non-Violent,77489,29.59915588,-95.48522588
Burglary,Non-Violent,77082,29.71674493,-95.61003772
Burglary,Non-Violent,77096,29.67445151,-95.49597791
Theft,Non-Violent,77018,29.82227475,-95.42577029
Theft,Non-Violent,77041,29.83754392,-95.55875905
Theft,Non-Violent,77027,29.741526,-95.45021074
Theft,Non-Violent,77042,29.72592398,-95.54524762
Burglary,Non-Violent,77036,29.71362693,-95.53960139
Theft,Non-Violent,77007,29.76831746,-95.38288151
Theft,Non-Violent,77024,29.77945457,-95.53592989
Burglary,Non-Violent,77061,29.64863979,-95.30331757
Theft,Non-Violent,77057,29.72359159,-95.4938026
Theft,Non-Violent,77055,29.80201743,-95.47930201
Robbery,Violent,77080,29.81709172,-95.50966069
Burglary,Non-Violent,77057,29.75004206,-95.47910951
Burglary,Non-Violent,77035,29.64433542,-95.50242945
Theft,Non-Violent,77036,29.67478701,-95.55817735
Burglary,Non-Violent,77085,29.61674885,-95.49906792
Aggravated Assault,Violent,77067,29.95390761,-95.42264597
Theft,Non-Violent,77055,29.78430825,-95.4659052
Theft,Non-Violent,77055,29.7844618,-95.53425475
Theft,Non-Violent,77063,29.72644498,-95.51730311
Theft,Non-Violent,77546,29.55163906,-95.15662807
Burglary,Non-Violent,77063,29.72898549,-95.52869422
Theft,Non-Violent,,29.78497942,-95.30114658
Theft,Non-Violent,77081,29.72413851,-95.46816767
Theft,Non-Violent,77079,29.78257362,-95.6433348
Theft,Non-Violent,77007,29.77263771,-95.41066494
Theft,Non-Violent,77002,29.74924336,-95.37233148
Aggravated Assault,Violent,77067,29.95133587,-95.42222647
Auto Theft,Non-Violent,77013,29.78181656,-95.22754615
Auto Theft,Non-Violent,77021,29.69027185,-95.33609998
Theft,Non-Violent,77019,29.75725263,-95.39812246
Theft,Non-Violent,77054,29.68476834,-95.41240774
Aggravated Assault,Violent,77063,29.74419434,-95.50266981
Theft,Non-Violent,77099,29.67281722,-95.58302158
Theft,Non-Violent,77002,29.7464784,-95.37323469
Theft,Non-Violent,77091,29.86223092,-95.41248307
Aggravated Assault,Violent,77042,29.73325606,-95.5431737
Theft,Non-Violent,77042,29.73298281,-95.56931204
Theft,Non-Violent,77089,29.61990559,-95.22078139
Theft,Non-Violent,77037,29.86986476,-95.40613782
Burglary,Non-Violent,77033,29.66532868,-95.34445192
Theft,Non-Violent,77060,29.93878266,-95.39673147
Aggravated Assault,Violent,77093,29.82568709,-95.337677
Theft,Non-Violent,77061,29.66569349,-95.28904079
Robbery,Violent,77026,29.78086328,-95.33748592
Aggravated Assault,Violent,77061,29.66971032,-95.27704518
Burglary,Non-Violent,77054,29.68209404,-95.41377833
Theft,Non-Violent,77028,29.83913217,-95.26222666
Theft,Non-Violent,77546,29.55163906,-95.15662807
Aggravated Assault,Violent,77055,29.78648519,-95.54404541
Theft,Non-Violent,77084,29.78524671,-95.69515025
Aggravated Assault,Violent,77026,29.79717554,-95.32050651
Robbery,Violent,77012,29.73015609,-95.28414958
Aggravated Assault,Violent,77002,29.75646867,-95.36774386
Burglary,Non-Violent,77063,29.73886134,-95.53152198
Burglary,Non-Violent,77060,29.95294987,-95.39322653
Auto Theft,Non-Violent,77042,29.74383173,-95.57630873
Auto Theft,Non-Violent,77063,29.73718956,-95.53886881
Theft,Non-Violent,77079,29.76305635,-95.59610699
Auto Theft,Non-Violent,77075,29.62206845,-95.22315379
Theft,Non-Violent,77085,29.64601196,-95.46732404
Aggravated Assault,Violent,77042,29.74805975,-95.56958724
Aggravated Assault,Violent,77036,29.67509021,-95.55367131
Burglary,Non-Violent,77079,29.78258368,-95.60122281
Rape,Violent,77013,29.7757738,-95.22045
Burglary,Non-Violent,77070,29.96067996,-95.54654472
Theft,Non-Violent,77091,29.85451722,-95.46691805
Theft,Non-Violent,77024,29.7685896,-95.44831086
Aggravated Assault,Violent,77082,29.72786669,-95.57677371
Burglary,Non-Violent,77051,29.6605838,-95.36598597
Burglary,Non-Violent,77045,29.64108164,-95.44838742
Theft,Non-Violent,77396,29.93245122,-95.2996799
Theft,Non-Violent,77033,29.6761394,-95.3364544
Theft,Non-Violent,77007,29.7706043,-95.41638342
Burglary,Non-Violent,77051,29.65165475,-95.36622904
Theft,Non-Violent,77057,29.75008652,-95.4975064
Theft,Non-Violent,77027,29.74152783,-95.45017269
Robbery,Violent,77042,29.73691798,-95.55920789
Theft,Non-Violent,77079,29.77471643,-95.63437627
Auto Theft,Non-Violent,77089,29.60731964,-95.21840154
Theft,Non-Violent,77013,29.7936925,-95.25339411
Theft,Non-Violent,77036,29.69451019,-95.55670656
Theft,Non-Violent,77054,29.67609687,-95.41225445
Auto Theft,Non-Violent,77087,29.68531615,-95.30683944
Theft,Non-Violent,77035,29.64433542,-95.50242945
Theft,Non-Violent,77089,29.60279171,-95.21176622
Auto Theft,Non-Violent,77060,29.92464835,-95.41166015
Theft,Non-Violent,77032,29.98595907,-95.3523273
Theft,Non-Violent,77022,29.82897849,-95.38082655
Theft,Non-Violent,77056,29.7397136,-95.46917537
Burglary,Non-Violent,77036,29.67948472,-95.55598566
Theft,Non-Violent,77019,29.74267418,-95.40969418
Theft,Non-Violent,77063,29.73756157,-95.50418223
Burglary,Non-Violent,77024,29.78340691,-95.47471809
Aggravated Assault,Violent,77022,29.8402409,-95.38889554
Theft,Non-Violent,77057,29.72359159,-95.4938026
Burglary,Non-Violent,77072,29.68914206,-95.56276474
Theft,Non-Violent,77042,29.73682905,-95.5669398
Theft,Non-Violent,77042,29.74383173,-95.57630873
Theft,Non-Violent,77006,29.74128047,-95.39649096
Theft,Non-Violent,,30.00704404,-95.31822244
Aggravated Assault,Violent,77045,29.62873879,-95.44618832
Burglary,Non-Violent,77082,29.73022213,-95.61833378
Theft,Non-Violent,77056,29.74082072,-95.46148763
Burglary,Non-Violent,77006,29.74980252,-95.37694843
Theft,Non-Violent,77098,29.73858132,-95.41069752
Theft,Non-Violent,77096,29.66713097,-95.50853759
Theft,Non-Violent,77023,29.72034013,-95.31091588
Theft,Non-Violent,77054,29.67804593,-95.41933794
Aggravated Assault,Violent,77020,29.77462044,-95.29444521
Theft,Non-Violent,77019,29.75766893,-95.38371603
Theft,Non-Violent,77002,29.73268058,-95.38413794
Auto Theft,Non-Violent,77089,29.60716792,-95.21213512
Aggravated Assault,Violent,77021,29.68274646,-95.37254687
Theft,Non-Violent,77079,29.78381466,-95.64374119
Auto Theft,Non-Violent,77007,29.76780362,-95.37376496
Theft,Non-Violent,77062,29.55946705,-95.12460107
Theft,Non-Violent,77028,29.84320729,-95.28209065
Theft,Non-Violent,77009,29.80962423,-95.38013171
Burglary,Non-Violent,77054,29.68535877,-95.39243495
Robbery,Violent,77023,29.71508936,-95.29627451
Theft,Non-Violent,77002,29.73793484,-95.38000701
Theft,Non-Violent,77024,29.78400713,-95.56157625
Burglary,Non-Violent,77099,29.6615742,-95.61305148
Aggravated Assault,Violent,77040,29.85004688,-95.51519839
Theft,Non-Violent,77041,29.8318596,-95.565735
Theft,Non-Violent,77087,29.69343816,-95.29355545
Aggravated Assault,Violent,77023,29.70735627,-95.31137635
Auto Theft,Non-Violent,77043,29.82607791,-95.56995606
Auto Theft,Non-Violent,77077,29.74618578,-95.60605493
Theft,Non-Violent,77032,29.94227184,-95.3156862
Theft,Non-Violent,77051,29.66911086,-95.35571222
Theft,Non-Violent,77025,29.66959271,-95.43578273
Theft,Non-Violent,77008,29.81234712,-95.42511376
Robbery,Violent,77006,29.74342645,-95.39124924
Theft,Non-Violent,77365,30.04857119,-95.25332733
Burglary,Non-Violent,77092,29.83317515,-95.48659446
Theft,Non-Violent,77008,29.80283046,-95.40693484
Robbery,Violent,77074,29.68976941,-95.50295125
Theft,Non-Violent,77072,29.6991257,-95.57031273
Robbery,Violent,77074,29.68826235,-95.49308191
Auto Theft,Non-Violent,77063,29.74780467,-95.53845738
Theft,Non-Violent,77018,29.81363912,-95.41850717
Rape,Violent,77013,29.7757738,-95.22045
Auto Theft,Non-Violent,77047,29.62373595,-95.36487563
Burglary,Non-Violent,77085,29.6199518,-95.50576538
Theft,Non-Violent,77077,29.76426139,-95.62534482
Aggravated Assault,Violent,77074,29.67325268,-95.53403211
Aggravated Assault,Violent,77489,29.59648725,-95.48360946
Theft,Non-Violent,77002,29.76497031,-95.37118506
Auto Theft,Non-Violent,77081,29.71156457,-95.49361244
Theft,Non-Violent,77083,29.70617656,-95.61469821
Aggravated Assault,Violent,77079,29.77736651,-95.59878597
Theft,Non-Violent,77063,29.7357992,-95.505041
Aggravated Assault,Violent,77021,29.68903093,-95.37335082
Auto Theft,Non-Violent,77054,29.69106737,-95.40973872
Auto Theft,Non-Violent,77015,29.76569676,-95.21635748
Theft,Non-Violent,77096,29.67946947,-95.49280478
Theft,Non-Violent,77598,29.5933136,-95.17992336
Theft,Non-Violent,77008,29.8015841,-95.44041277
Auto Theft,Non-Violent,77075,29.61314008,-95.23987821
Burglary,Non-Violent,77028,29.82111554,-95.31239124
Theft,Non-Violent,77006,29.74737424,-95.37759999
Theft,Non-Violent,77019,29.75720284,-95.40421283
Burglary,Non-Violent,77072,29.68769297,-95.57549229
Burglary,Non-Violent,77055,29.81478768,-95.48515394
Theft,Non-Violent,77032,29.98595907,-95.3523273
Aggravated Assault,Violent,77009,29.77860272,-95.3538226
Theft,Non-Violent,77002,29.74035306,-95.37807326
Burglary,Non-Violent,77071,29.67488864,-95.50862804
Theft,Non-Violent,77081,29.71792476,-95.49477827
Theft,Non-Violent,77054,29.68219456,-95.42398242
Theft,Non-Violent,77077,29.76667951,-95.62459425
Rape,Violent,77091,29.86553595,-95.4177852
Aggravated Assault,Violent,77072,29.6889445,-95.60453515
Theft,Non-Violent,77056,29.74082072,-95.46148763
Theft,Non-Violent,77026,29.79793786,-95.33128425
Burglary,Non-Violent,77099,29.67185593,-95.57819179
Theft,Non-Violent,77054,29.68402728,-95.39997715
Theft,Non-Violent,77045,29.64602871,-95.46372129
Theft,Non-Violent,77011,29.74145446,-95.30841596
Theft,Non-Violent,77047,29.61196708,-95.40515061
Burglary,Non-Violent,77077,29.75583958,-95.62805297
Theft,Non-Violent,77042,29.73305373,-95.56384227
Theft,Non-Violent,77030,29.69912352,-95.41826255
Theft,Non-Violent,77070,29.96341303,-95.54412864
Theft,Non-Violent,77061,29.66203371,-95.2768241
Theft,Non-Violent,77098,29.74276518,-95.40765642
Theft,Non-Violent,77022,29.82897849,-95.38082655
Theft,Non-Violent,77083,29.70350964,-95.61476881
Auto Theft,Non-Violent,77043,29.81268197,-95.55616143
Burglary,Non-Violent,77036,29.71590288,-95.51367185
Theft,Non-Violent,77072,29.68916099,-95.56603
Theft,Non-Violent,77042,29.73682905,-95.5669398
Theft,Non-Violent,77011,29.73553139,-95.29505484
Theft,Non-Violent,77099,29.672664,-95.60602488
Auto Theft,Non-Violent,77099,29.66712284,-95.56401875
Theft,Non-Violent,77099,29.68460115,-95.55873617
Theft,Non-Violent,77030,29.69689161,-95.41247355
Burglary,Non-Violent,77027,29.74393555,-95.45699549
Aggravated Assault,Violent,77042,29.72814972,-95.54335731
Theft,Non-Violent,77077,29.75485833,-95.62526644
Theft,Non-Violent,77546,29.54335561,-95.14572497
Theft,Non-Violent,77089,29.60217857,-95.21323957
Auto Theft,Non-Violent,77063,29.73836888,-95.53487181
Theft,Non-Violent,77022,29.8307041,-95.38811148
Burglary,Non-Violent,77055,29.79066718,-95.47428406
Burglary,Non-Violent,77074,29.67959081,-95.50869477
Theft,Non-Violent,77018,29.81441073,-95.42938223
Theft,Non-Violent,77008,29.80373232,-95.4208639
Theft,Non-Violent,77075,29.61936272,-95.2853112
Robbery,Violent,77042,29.74759474,-95.56935187
Auto Theft,Non-Violent,77072,29.69895523,-95.60914899
Theft,Non-Violent,77046,29.73362921,-95.4302195
Auto Theft,Non-Violent,77093,29.87107916,-95.34088244
Theft,Non-Violent,77078,29.83572817,-95.25218125
Aggravated Assault,Violent,77011,29.74098311,-95.2922051
Theft,Non-Violent,77060,29.94341185,-95.40449052
Burglary,Non-Violent,77082,29.73371747,-95.59739271
Theft,Non-Violent,77019,29.75320716,-95.3997871
Theft,Non-Violent,77099,29.67106305,-95.56828688
Theft,Non-Violent,77072,29.68896302,-95.6038132
Burglary,Non-Violent,77007,29.77048984,-95.39821628
Theft,Non-Violent,77060,29.93177723,-95.40159521
Burglary,Non-Violent,77074,29.68097592,-95.5008384
Theft,Non-Violent,77017,29.67535271,-95.2655184
Theft,Non-Violent,77028,29.81046669,-95.30191355
Aggravated Assault,Violent,77002,29.75956023,-95.3692241
Aggravated Assault,Violent,77035,29.64536678,-95.50831512
Theft,Non-Violent,77008,29.80029566,-95.42425912
Theft,Non-Violent,77080,29.82939593,-95.50064586
Theft,Non-Violent,77047,29.61382475,-95.40514771
Theft,Non-Violent,77011,29.73853042,-95.30562444
Theft,Non-Violent,77082,29.73603651,-95.58862687
Theft,Non-Violent,77025,29.69069732,-95.41722501
Theft,Non-Violent,77034,29.6492686,-95.21868686
Theft,Non-Violent,77036,29.71476144,-95.50373198
Theft,Non-Violent,77082,29.73603651,-95.58862687
Theft,Non-Violent,77082,29.73484971,-95.58068703
Theft,Non-Violent,77096,29.65838074,-95.50844484
Aggravated Assault,Violent,77067,29.96060104,-95.42421816
Theft,Non-Violent,77051,29.6579409,-95.38295863
Burglary,Non-Violent,77026,29.80249166,-95.33630796
Burglary,Non-Violent,77033,29.68316284,-95.33795037
Burglary,Non-Violent,77015,29.77305035,-95.2157356
Theft,Non-Violent,77081,29.72471033,-95.45498987
Murder,Violent,77074,29.70544965,-95.49595287
Auto Theft,Non-Violent,77004,29.74168749,-95.37444095
Theft,Non-Violent,77060,29.94940161,-95.41308223
Theft,Non-Violent,77019,29.75469313,-95.39216584
Theft,Non-Violent,77025,29.68421007,-95.42239637
Theft,Non-Violent,77078,29.8549022,-95.26572388
Aggravated Assault,Violent,77081,29.70003226,-95.49299553
Aggravated Assault,Violent,77016,29.85874006,-95.30538254
Burglary,Non-Violent,77026,29.77863915,-95.34392529
Theft,Non-Violent,77098,29.73023111,-95.41782754
Aggravated Assault,Violent,77021,29.69760221,-95.3314017
Theft,Non-Violent,77080,29.82856549,-95.52636564
Theft,Non-Violent,77084,29.78505863,-95.65148988
Aggravated Assault,Violent,77099,29.67106305,-95.56828688
Theft,Non-Violent,77054,29.67707268,-95.41227364
Theft,Non-Violent,77072,29.71492379,-95.58169898
Theft,Non-Violent,77021,29.68788401,-95.35331708
Theft,Non-Violent,77096,29.67081809,-95.50858243
Auto Theft,Non-Violent,77034,29.63752251,-95.23737872
Theft,Non-Violent,77096,29.68584233,-95.46434911
Auto Theft,Non-Violent,77061,29.66555889,-95.27691605
Robbery,Violent,77063,29.72931027,-95.5139422
Theft,Non-Violent,77099,29.67811847,-95.60288959
Aggravated Assault,Violent,77016,29.83324842,-95.31667632
Auto Theft,Non-Violent,77025,29.68757579,-95.41971855
Theft,Non-Violent,77007,29.76497894,-95.45534952
Theft,Non-Violent,77055,29.81780865,-95.48379138
Theft,Non-Violent,77004,29.72488373,-95.35600629
Theft,Non-Violent,77063,29.73590715,-95.51570049
Theft,Non-Violent,77013,29.80149777,-95.24713912
Theft,Non-Violent,77021,29.70356507,-95.35008414
Auto Theft,Non-Violent,77053,29.5955555,-95.44788668
Theft,Non-Violent,77024,29.78391094,-95.55407906
Theft,Non-Violent,77072,29.68783573,-95.55818463
Theft,Non-Violent,77008,29.80395362,-95.40009605
Theft,Non-Violent,77048,29.61216705,-95.34614124
Burglary,Non-Violent,77042,29.73681876,-95.56834936
Auto Theft,Non-Violent,77056,29.74054602,-95.46618087
Burglary,Non-Violent,77006,29.75039969,-95.39416854
Theft,Non-Violent,77075,29.60079889,-95.26573432
Robbery,Violent,77099,29.67106305,-95.56828688
Burglary,Non-Violent,77020,29.7765548,-95.29980119
Burglary,Non-Violent,77598,29.55555528,-95.15070171
Robbery,Violent,77489,29.59857595,-95.48131417
Theft,Non-Violent,77022,29.82897849,-95.38082655
Theft,Non-Violent,77096,29.67781262,-95.47760423
Aggravated Assault,Violent,77089,29.58891971,-95.18744237
Auto Theft,Non-Violent,77075,29.62900778,-95.28557531
Theft,Non-Violent,77032,29.94629856,-95.33134449
Theft,Non-Violent,77074,29.67997926,-95.52809127
Burglary,Non-Violent,77077,29.76110355,-95.62535502
Burglary,Non-Violent,77031,29.67152693,-95.53086081
Auto Theft,Non-Violent,77076,29.86471972,-95.36520296
Theft,Non-Violent,77077,29.75587628,-95.64371301
Theft,Non-Violent,77006,29.73871188,-95.39825249
Auto Theft,Non-Violent,77099,29.67183123,-95.58771727
Theft,Non-Violent,77092,29.81588484,-95.45207694
Aggravated Assault,Violent,77016,29.85820393,-95.29100607
Theft,Non-Violent,77096,29.67092844,-95.50305797
Auto Theft,Non-Violent,77089,29.61999756,-95.22088787
Theft,Non-Violent,77081,29.72471033,-95.45498987
Robbery,Violent,77011,29.74443211,-95.3031801
Theft,Non-Violent,77002,29.73857982,-95.38102547
Theft,Non-Violent,77023,29.71885825,-95.29419396
Aggravated Assault,Violent,77016,29.84625237,-95.30993733
Burglary,Non-Violent,77036,29.70093061,-95.55230233
Burglary,Non-Violent,77006,29.73436518,-95.39250785
Theft,Non-Violent,77057,29.72639059,-95.4888943
Aggravated Assault,Violent,77028,29.84959703,-95.26235694
Auto Theft,Non-Violent,77016,29.85003169,-95.30945835
Theft,Non-Violent,77081,29.7055003,-95.48962486
Theft,Non-Violent,77027,29.73269819,-95.43789963
Theft,Non-Violent,77019,29.75322185,-95.37914399
Theft,Non-Violent,77042,29.75011409,-95.5558194
Aggravated Assault,Violent,77003,29.74580091,-95.36104964
Theft,Non-Violent,77011,29.66412175,-95.22482229
Theft,Non-Violent,77003,29.7507135,-95.35456188
Rape,Violent,77099,29.67525464,-95.58777153
Theft,Non-Violent,77096,29.67530968,-95.45953532
Theft,Non-Violent,77055,29.80671554,-95.48495099
Burglary,Non-Violent,77026,29.79420033,-95.32213894
Burglary,Non-Violent,77051,29.64994721,-95.37448459
Auto Theft,Non-Violent,77088,29.88245057,-95.44850159
Aggravated Assault,Violent,77063,29.73295865,-95.52157186
Theft,Non-Violent,77546,29.55163906,-95.15662807
Theft,Non-Violent,77087,29.69447716,-95.29977825
Auto Theft,Non-Violent,77043,29.80676759,-95.54516382
Auto Theft,Non-Violent,77042,29.72861857,-95.54531508
Theft,Non-Violent,77055,29.80300416,-95.49379821
Theft,Non-Violent,77055,29.79830426,-95.48486787
Burglary,Non-Violent,77063,29.73876546,-95.50818005
Theft,Non-Violent,77081,29.72413851,-95.46816767
Theft,Non-Violent,77003,29.74446553,-95.3646637
Theft,Non-Violent,77081,29.71645008,-95.49889283
Burglary,Non-Violent,77036,29.71757092,-95.51999815
Auto Theft,Non-Violent,77089,29.61983746,-95.22070252
Burglary,Non-Violent,77082,29.73081142,-95.59073744
Robbery,Violent,77099,29.67491326,-95.5819739
Burglary,Non-Violent,77339,30.05014564,-95.24041734
Theft,Non-Violent,77056,29.74861387,-95.46125611
Auto Theft,Non-Violent,77061,29.6427975,-95.30464122
Aggravated Assault,Violent,77022,29.83345976,-95.37152524
Theft,Non-Violent,77041,29.83196918,-95.56220658
Theft,Non-Violent,77081,29.72297633,-95.47718175
Theft,Non-Violent,77055,29.80671554,-95.48495099
Theft,Non-Violent,77061,29.6521648,-95.2583067
Theft,Non-Violent,77098,29.72980059,-95.41284096
Burglary,Non-Violent,77057,29.73963803,-95.50091241
Auto Theft,Non-Violent,77028,29.83030164,-95.30317821
Theft,Non-Violent,77074,29.681779,-95.49618463
Theft,Non-Violent,77061,29.65784838,-95.27858736
Theft,Non-Violent,77036,29.68542765,-95.55196263
Theft,Non-Violent,77035,29.64292784,-95.50317312
Theft,Non-Violent,77077,29.74697738,-95.58687784
