ZIP,Non-Violet Ct,Violet Ct,LAT,LNG,Total Ct
77002,148,32,29.756845,-95.365652,180
77003,54,7,29.749778000000006,-95.345885,61
77004,131,42,29.724893,-95.363752,173
77005,30,1,29.718435,-95.423555,31
77006,131,16,29.74097,-95.391301,147
77007,168,8,29.771545,-95.411083,176
77008,102,9,29.798249,-95.416933,111
77009,74,28,29.795344,-95.36759,102
77010,6,2,29.753624,-95.35981,8
77011,36,8,29.743217,-95.30911,44
77012,20,13,29.718525,-95.274137,33
77013,44,15,29.795268,-95.233977,59
77014,2,1,29.981209000000003,-95.463971,3
77015,41,9,29.76393,-95.173121,50
77016,65,45,29.862532,-95.29998,110
77017,62,11,29.689824,-95.252393,73
77018,70,16,29.826448,-95.426267,86
77019,103,5,29.75415,-95.409498,108
77020,60,25,29.773179,-95.314327,85
77021,93,28,29.69843,-95.3569,121
77022,132,29,29.83159,-95.379554,161
77023,56,11,29.721825,-95.318275,67
77024,103,6,29.772179,-95.514203,109
77025,78,13,29.685706,-95.434764,91
77026,55,40,29.800187,-95.328888,95
77027,82,3,29.740079,-95.446409,85
77028,47,13,29.827869,-95.287485,60
77029,20,7,29.759665,-95.256251,27
77030,49,6,29.706787,-95.401748,55
77031,31,10,29.652205,-95.54623,41
77032,80,1,29.987805,-95.353412,81
77033,50,31,29.66688,-95.335133,81
77034,56,16,29.61951,-95.191644,72
77035,61,32,29.655503000000003,-95.471663,93
77036,166,51,29.701847,-95.534537,217
77037,24,13,29.89036,-95.392527,37
77038,13,3,29.918595,-95.441194,16
77040,93,23,29.874575,-95.527099,116
77041,27,4,29.8586,-95.580768,31
77042,131,19,29.741325,-95.560254,150
77043,45,15,29.81093,-95.584639,60
77044,4,0,29.906616,-95.180608,4
77045,54,20,29.635793,-95.432889,74
77046,5,0,29.733777000000003,-95.433346,5
77047,36,14,29.61065,-95.386863,50
77048,28,6,29.618714,-95.324221,34
77049,1,0,29.832928000000006,-95.14904,1
77050,2,1,29.902887,-95.269296,3
77051,47,19,29.656113,-95.378696,66
77053,19,12,29.583542,-95.460693,31
77054,147,25,29.68025,-95.404913,172
77055,91,19,29.796871000000003,-95.49165,110
77056,129,7,29.748202000000006,-95.468948,136
77057,149,32,29.744081,-95.487974,181
77058,13,2,29.561579,-95.099626,15
77059,4,0,29.613602,-95.11937,4
77060,91,30,29.935512,-95.397624,121
77061,87,26,29.647023,-95.276656,113
77062,24,2,29.573552000000007,-95.130613,26
77063,125,21,29.736295,-95.523292,146
77064,18,2,29.918045000000006,-95.535685,20
77066,3,0,29.957234000000003,-95.503258,3
77067,22,14,29.952629,-95.446609,36
77069,2,2,29.988455,-95.5312,4
77070,42,4,29.979648,-95.572877,46
77071,31,8,29.651728,-95.519919,39
77072,133,30,29.699688,-95.584817,163
77074,79,31,29.687947,-95.515725,110
77075,99,13,29.620420000000006,-95.268939,112
77076,58,17,29.860021000000003,-95.382184,75
77077,125,18,29.750233,-95.615383,143
77078,38,11,29.852397,-95.2541,49
77079,66,7,29.776093,-95.603037,73
77080,62,21,29.815894,-95.522885,83
77081,109,31,29.712099,-95.480935,140
77082,112,17,29.724490000000007,-95.640002,129
77083,3,1,29.694395,-95.649569,4
77084,30,3,29.827486,-95.65992,33
77085,32,8,29.620509,-95.485333,40
77086,2,0,29.919035,-95.491607,2
77087,91,11,29.686519,-95.303917,102
77088,63,22,29.881487,-95.452619,85
77089,49,6,29.586959000000004,-95.225601,55
77090,4,2,30.00824,-95.438996,6
77091,64,19,29.853067,-95.435966,83
77092,138,24,29.830024,-95.474409,162
77093,60,27,29.8634,-95.341409,87
77094,13,1,29.769285,-95.681292,14
77096,84,20,29.675339,-95.479372,104
77098,84,9,29.734813,-95.416098,93
77099,116,29,29.670869,-95.58599,145
77336,4,3,30.063168,-95.098858,7
77338,12,0,30.017301,-95.286217,12
77339,43,4,30.046777,-95.221022,47
77345,17,1,30.053105,-95.157943,18
77396,20,5,29.945205,-95.259778,25
77401,1,2,29.704019,-95.460905,3
77504,4,1,29.647916,-95.18978,5
77546,52,0,29.515074,-95.192133,52
77547,1,0,29.735876,-95.238178,1
77598,35,4,29.539422,-95.134995,39
