zip,estimate,house area,lot area,month value change,LAT,LNG,Locations,Total Buildings,Percent Insured
77003,304618.52,1728.4527162977868,3171.1673387096776,745.2213279678067,29.749778000000006,-95.345885,287,4036,7.111000991080277
77004,332700.348,2040.9598393574295,6091.6405622489965,-647.4589178356713,29.724893,-95.363752,1052,7161,14.690685658427594
77005,1185270.596,3363.54,7277.734406438632,10074.39478957916,29.718435,-95.423555,4043,8192,49.35302734375
77006,642616.5279999999,2387.0261044176705,4935.989517819707,3892.106212424849,29.74097,-95.391301,1318,5672,23.23695345557123
77007,528380.128,2360.6352705410823,3457.987854251013,-1220.4529058116232,29.771545,-95.411083,2824,6813,41.450168794950834
77008,533863.85,2018.556,6412.38585858586,2729.164328657315,29.798249,-95.416933,4567,8235,55.458409228901026
77009,409886.58200000005,1515.4748490945676,5665.320564516129,3926.987951807229,29.795344,-95.36759,1371,7915,17.32154137713203
77011,176917.152,1255.09,5332.472945891784,1971.7879999999998,29.743217,-95.30911,97,5160,1.8798449612403103
77012,133163.768,1228.8056112224451,5642.076305220882,1701.224,29.718525,-95.274137,116,4398,2.6375625284220097
77013,140875.606,1512.776,11796.918,989.882,29.795268,-95.233977,781,3420,22.836257309941523
77014,171051.16,2122.610441767068,6704.638000000001,41.518,29.981209000000003,-95.463971,494,6281,7.864989651329406
77015,147701.038,1325.194779116466,14204.612033195019,3295.768,29.76393,-95.173121,1664,8106,20.528003947693065
77016,112683.244,1400.9678068410462,9269.557114228455,593.938,29.862532,-95.29998,959,8133,11.79146686339604
77017,145472.406,1454.4348697394792,8995.808,117.64399999999999,29.689824,-95.252393,568,7259,7.8247692519630805
77018,466630.782,2123.9517102615696,19097.36546184739,554.044,29.826448,-95.426267,3229,8552,37.757249766136574
77019,1337546.668,3447.739478957916,9127.53427419355,-558.7254509018036,29.75415,-95.409498,1664,5899,28.20817087641973
77020,134260.098,1201.8455284552845,5459.108433734939,-2146.4048096192387,29.773179,-95.314327,246,7163,3.4343152310484433
77021,185627.426,1579.4929859719439,7571.275100401606,511.224,29.69843,-95.3569,867,8366,10.363375567774325
77022,167988.164,1329.004016064257,8796.495983935743,2196.98,29.83159,-95.379554,875,8084,10.82384957941613
77023,238555.702,1484.066265060241,6624.435742971888,1900.14,29.721825,-95.318275,457,6754,6.766360675155464
77024,1311313.4,4146.409638554217,27985.343815513632,-688.1160000000001,29.772179,-95.514203,4647,7607,61.088471144998024
77025,515113.218,2482.7675350701397,7127.454361054767,-227.05599999999998,29.685706,-95.434764,3868,6755,57.26128793486307
77026,118762.04800000001,1221.6686868686866,8343.997987927565,716.2739999999999,29.800187,-95.328888,790,7783,10.150327637157908
77027,1077188.354,3279.528112449799,8373.41841004184,1735.9679358717435,29.740079,-95.446409,1192,3021,39.45713339953657
77028,102942.398,1272.3863179074447,11457.472,3659.414,29.827869,-95.287485,506,7072,7.15497737556561
77029,108084.136,1230.4759036144576,7114.953815261044,750.38,29.759665,-95.256251,519,6492,7.99445471349353
77030,845639.132,2851.5791583166333,8046.695564516129,-1690.872,29.706787,-95.401748,1092,2127,51.33991537376586
77031,191397.312,1981.6012024048096,9305.33606557377,1469.832,29.652205,-95.54623,702,3138,22.37093690248566
77032,130809.12800000001,1495.949290060852,12215.897177419352,455.42400000000004,29.987805,-95.353412,625,3256,19.195331695331696
77033,106051.39,1294.2144288577153,7267.815631262524,1313.682,29.66688,-95.335133,857,9130,9.386637458926614
77034,222138.954,1584.8517034068134,8576.614,470.846,29.61951,-95.191644,1899,7386,25.710804224207962
77035,258320.1,1816.7374749499,8895.752066115703,2124.006,29.655503000000003,-95.471663,2604,7287,35.73487031700288
77036,197854.82,1989.7839999999999,151813.6505263158,487.29400000000004,29.701847,-95.534537,1589,5747,27.649208282582215
77037,146236.228,1447.8534136546186,14278.861788617884,836.66,29.89036,-95.392527,1176,4789,24.556274796408438
77038,147078.53,1652.1468812877265,8236.667342799188,834.9119999999999,29.918595,-95.441194,1040,6202,16.768784263140923
77039,151502.88,1450.5838383838386,19694.719191919197,1036.792,29.911171000000003,-95.341182,1116,6369,17.522373999057937
77040,230727.294,1768.2184368737476,9843.264462809915,1326.598,29.874575,-95.527099,4126,8680,47.534562211981566
77041,265189.594,2313.0280561122245,8907.507042253521,1554.2911646586347,29.8586,-95.580768,2023,8153,24.81295228750153
77042,415255.52,2428.72745490982,16924.914425427873,540.5219999999999,29.741325,-95.560254,1812,4932,36.73965936739659
77043,299761.762,2041.8614457831327,8448.195175438597,22.978,29.81093,-95.584639,1789,6620,27.02416918429003
77044,166533.902,1785.8020202020202,14335.629327902241,1213.1860000000001,29.906616,-95.180608,1708,7586,22.51515950435012
77045,139550.872,1514.5751503006013,7993.597194388778,1009.07,29.635793,-95.432889,1348,8367,16.110911915859926
77047,182574.52800000002,1846.4,8168.645290581162,762.332,29.61065,-95.386863,1128,7709,14.63224802179271
77048,148134.57,1546.738430583501,12917.254032258064,2336.59,29.618714,-95.324221,518,5592,9.263233190271816
77049,183437.228,2013.1646586345387,8740.19639278557,381.63,29.832928000000006,-95.14904,1040,8334,12.479001679865611
