zip,estimate,house area,lot area,high,low,month value change,property tax,LAT,LNG
77003,304618.52,1728.4527162977868,3171.1673387096776,329690.96,281187.204,745.2213279678068,245600.00203252034,29.749778000000003,-95.345885
77004,332700.348,2040.9598393574297,6091.640562248996,365302.716,302881.67,-647.4589178356713,255145.0525252525,29.724892999999998,-95.363752
77005,1185270.596,3363.54,7277.734406438632,1282708.42,1099375.018,10074.394789579159,1194510.8136272545,29.718434999999996,-95.42355500000001
77006,642616.528,2387.0261044176705,4935.989517819707,702146.308,591382.956,3892.1062124248497,580366.2489795919,29.74097,-95.391301
77007,528380.128,2360.6352705410823,3457.9878542510123,568855.332,490881.38,-1220.4529058116232,502287.67741935485,29.771545,-95.41108299999999
77008,533863.85,2018.556,6412.385858585859,576880.306,496881.982,2729.164328657315,475896.92525252525,29.798249,-95.416933
77009,409886.582,1515.4748490945674,5665.320564516129,451771.386,374651.414,3926.987951807229,331628.14024390245,29.795344,-95.36759
77011,176917.152,1255.09,5332.472945891784,200831.092,156254.504,1971.788,94317.86144578313,29.743216999999998,-95.30911
77012,133163.768,1228.805611222445,5642.076305220883,148708.63,118623.484,1701.224,78640.66532258065,29.718525,-95.274137
77013,140875.606,1512.776,11796.918,150485.66,130264.036,989.882,92886.23,29.795268,-95.233977
77014,171051.16,2122.610441767068,6704.638,180905.216,160350.916,41.518,145139.59919839678,29.981209000000003,-95.463971
77015,147701.038,1325.194779116466,14204.61203319502,166944.742,128742.26,3295.768,97063.4426559356,29.76393,-95.173121
77016,112683.244,1400.9678068410462,9269.557114228457,122326.688,102962.888,593.938,63754.359437751,29.862532,-95.29998
77017,145472.406,1454.434869739479,8995.808,156244.164,134175.67,117.644,98196.93,29.689823999999998,-95.25239300000001
77018,466630.782,2123.9517102615696,19097.36546184739,505292.626,431279.24,554.044,399779.73535353533,29.826448,-95.42626700000001
77019,1337546.668,3447.7394789579157,9127.53427419355,1516825.42,1234718.354,-558.7254509018036,1368547.5754527163,29.75415,-95.409498
77020,134260.098,1201.8455284552845,5459.108433734939,152238.644,121889.014,-2146.4048096192387,77215.79233870968,29.773179,-95.314327
77021,185627.426,1579.4929859719439,7571.275100401606,204228.258,167531.134,511.224,121730.2951807229,29.69843,-95.3569
77022,167988.164,1329.004016064257,8796.495983935743,188902.046,148036.2,2196.98,109955.44064386318,29.831590000000002,-95.379554
77023,238555.702,1484.066265060241,6624.4357429718875,262324.7,216658.416,1900.14,161797.94141414142,29.721825,-95.318275
77024,1311313.4,4146.409638554217,27985.34381551363,1421993.648,1210999.696,-688.116,1385593.8848484848,29.772178999999998,-95.51420300000001
77025,515113.218,2482.76753507014,7127.454361054767,552602.988,480175.838,-227.056,493632.4464646465,29.685706,-95.434764
77026,118762.048,1221.6686868686868,8343.997987927565,133092.784,105943.892,716.274,62251.84989858012,29.800187,-95.328888
77027,1077188.354,3279.528112449799,8373.41841004184,1174902.294,991698.634,1735.9679358717435,1078855.111111111,29.740078999999998,-95.446409
77028,102942.398,1272.3863179074447,11457.472,112791.962,92649.172,3659.414,49562.04208416834,29.827869,-95.287485
77029,108084.136,1230.4759036144578,7114.953815261044,117458.594,97855.06,750.38,60665.76458752515,29.759665000000002,-95.256251
