StateCode,CountyName,PostalCode,Locations,Building_TIV,Contents_TIV,Building_Limit,Contents_Limit
TX,Harris,77002,157,1146599489.58795,139000282.026143,122273700,29113200
TX,Harris,77003,287,217574341.556369,28436708.6586202,63492400,30093900
TX,Harris,77004,1052,820847948.194519,71261648.7781214,335596500,92368400
TX,Harris,77005,4043,4296318555.55986,454269274.01015,988278400,380594300
TX,Harris,77006,1318,768500473.152618,88144167.3590392,314864400,127083900
TX,Harris,77007,2824,1550757151.39998,164499553.865973,675585400,257149700
TX,Harris,77008,4567,2145116571.01819,219111203.893265,1021878800,349470700
TX,Harris,77009,1371,479723980.373272,50723055.9399428,302208400,107870600
TX,Harris,77011,97,30700738.6793644,4325110.02741694,19595400,12202500
TX,Harris,77012,116,34297612.4846638,5040989.08103119,19820800,11502000
TX,Harris,77013,781,367883095.382262,39856533.812686,142362100,52088000
TX,Harris,77014,494,233576541.110318,26415058.1310081,100263600,38026300
TX,Harris,77015,1664,900099317.641282,109648694.944146,326747200,142741300
TX,Harris,77016,959,245567159.42581,32511809.2772399,141802800,55820200
TX,Harris,77017,568,181741320.563414,22570867.4616878,107383000,39377500
TX,Harris,77018,3229,1277061722.24126,145430256.287153,695053900,257137300
TX,Harris,77019,1664,1824395870.35222,207484944.862422,437130900,162182700
TX,Harris,77020,246,71206318.6890415,9499487.00346142,46506300,24404700
TX,Harris,77021,867,352963250.283436,39263174.8400191,175064000,68247500
TX,Harris,77022,875,215197626.840258,22085621.5537052,139243200,42249600
TX,Harris,77023,457,118372326.491518,17932747.9587485,91632100,34087600
TX,Harris,77024,4647,5894034925.0062,651851138.634706,1092698000,445470600
TX,Harris,77025,3868,3014731538.07457,291065655.94578,931761500,275996600
TX,Harris,77026,790,154155950.964129,16373925.5599333,97025600,30133500
TX,Harris,77027,1192,1346421384.60985,152001014.08638,335176600,116763500
TX,Harris,77028,506,194157298.705443,22666514.5335898,87496700,37068300
TX,Harris,77029,519,212714057.631657,33458502.6327689,94220900,47623100
TX,Harris,77030,1092,1919362876.41593,203952837.884574,417688600,128043100
TX,Harris,77031,702,299788433.212951,35221523.9906096,155195800,55094000
TX,Harris,77032,625,380913444.560413,45268385.5503439,113775600,44353500
TX,Harris,77033,857,181187340.462953,24444712.2898724,104565300,39672600
TX,Harris,77034,1899,625858550.847438,71176242.0519746,307740500,82732100
TX,Harris,77035,2604,1108271519.68239,120795594.398243,594137600,184019000
TX,Harris,77036,1589,699038746.261764,74641693.7920068,372600700,89041200
TX,Harris,77037,1176,288562148.058028,33986327.6865916,153174800,40160100
TX,Harris,77038,1040,345143748.674544,36684382.1998949,173350500,47095600
TX,Harris,77039,1116,368137117.587931,42845620.2383918,191292200,69786800
TX,Harris,77040,4126,2193687351.28354,230610383.190304,830075800,277504700
TX,Harris,77041,2023,1336273483.99084,149577513.923535,450794100,202889400
TX,Harris,77042,1812,1056337811.30093,157065598.526111,421433200,167921000
TX,Harris,77043,1789,870299639.020341,109589538.91585,380509800,160598200
TX,Harris,77044,1708,1052656675.98456,115291154.337059,357721200,148639400
TX,Harris,77045,1348,466173538.770511,60970133.0362224,211529300,82673900
TX,Harris,77046,32,787314707.649465,84577353.4644415,7700100,2312600
TX,Harris,77047,1128,464390947.628492,50031704.7411602,205896900,81966100
TX,Harris,77048,518,167890702.572964,21343571.6051795,84894200,33692200
TX,Harris,77049,1040,677236271.806062,80699567.8965529,203515000,85054300
TX,Harris,77050,140,42833506.306037,5216688.29988566,24825400,9058700
TX,Harris,77051,293,114323896.568611,13618387.2199128,44528600,18272700
TX,Harris,77054,311,326238307.995292,51151160.7711916,55274000,42369500
TX,Harris,77055,2325,1301933936.38683,150063431.684152,522688900,219455600
TX,Harris,77056,1589,2037833261.9339,209400680.249652,433252600,156979000
TX,Harris,77057,1735,1098727303.98696,133638429.630257,361090500,154650400
TX,Harris,77058,2415,1435721818.87478,152181139.220235,591823400,187699700
TX,Harris,77059,3465,3687482314.70325,399499621.510837,825026100,331260300
