zip,address,lat,lng,house area,lot area,high,low,estimate,month value change,property tax
77450,"2018 CRYSTAL DOWNS DR, KATY, TX 77450",29.752454999999998,-95.764948,3374,9778,416144,376512,396328,4445,392500.0
77450,"22302 RUE CANYON CT, KATY, TX 77450",29.730565999999996,-95.757328,2597,9760,311164,281530,296347,9393,285790.0
77450,"2815 SANCTUARY CV, KATY, TX 77450",29.741597,-95.753458,3312,11948,425084,384600,404842,9676,407930.0
77450,"3003 KEILLER CIR, KATY, TX 77450",29.738433,-95.750151,2779,,331405,299843,315624,4209,313550.0
77450,"2142 ENCHANTED PARK LN, KATY, TX 77450",29.74966,-95.74129599999999,2883,6325,264849,239625,252237,-2098,258169.0
77450,"21414 WILLOW GLADE DR, KATY, TX 77450",29.742156,-95.744691,2148,8100,272725,246751,259738,3096,257240.0
77450,"21518 KELLIWOOD GREENS DR, KATY, TX 77450",29.726675,-95.745754,4280,12728,503436,451193,474940,-1508,320730.0
77450,"6218 PEBBLE CANYON CT, KATY, TX 77450",29.711485999999997,-95.73507099999999,2952,8300,312353,282605,297479,7051,154960.0
77450,"21626 CANYON FOREST CT, KATY, TX 77450",29.712462,-95.756929,3862,8375,468387,423779,446083,10276,467480.0
77450,"4607 WELLBROOK LN, KATY, TX 77450",29.724655,-95.766789,4178,9982,529393,478975,504184,11604,490490.0
77450,"22418 BELLOWS BEND DR, KATY, TX 77450",29.731527000000003,-95.758989,1817,6355,243751,213572,232144,3698,227030.0
77450,"21318 GRAND HOLLOW LN, KATY, TX 77450",29.70863,-95.754802,2932,7188,340032,307648,323840,2530,223410.0
77450,"21207 WILLOWFORD PARK DR, KATY, TX 77450",29.715128000000004,-95.740197,3757,9278,385174,333817,366832,-3963,221870.0
77450,"20802 SILVERBOW CT, KATY, TX 77450",29.740579999999998,-95.73599499999999,2032,9453,239470,199186,223804,4424,228130.0
77450,"21619 SAN MARINO DR, KATY, TX 77450",29.733621999999997,-95.746114,3142,,345962,313014,329488,5823,291890.0
77450,"21722 SHALLOW GLEN LN, KATY, TX 77450",29.707031,-95.758022,1627,4621,223398,202122,212760,6284,197190.0
77450,"2827 NORWOOD HILLS DR, KATY, TX 77450",29.741791999999997,-95.750392,2617,8877,314882,284894,299888,8050,292310.0
77450,"6255 PIEDRA NEGRAS CT, KATY, TX 77450",29.71149,-95.733526,1842,7880,230727,191233,207862,10238,105860.0
77450,"3322 SAGE TER, KATY, TX 77450",29.736952000000002,-95.75027299999999,2357,,298456,270032,284244,6076,257700.0
77450,"22514 WESTBROOK CINCO LN, KATY, TX 77450",29.728064,-95.763103,3733,8400,442012,399916,420964,9208,439350.0
77450,"20030 MEADOW ARBOR CT, KATY, TX 77450",29.751145,-95.723124,3433,9514,423364,379012,403204,-127,465750.0
77450,"21203 CRESCENT STAR CT, KATY, TX 77450",29.709615000000003,-95.754176,3805,12991,435783,379811,399801,-4462,281840.0
77450,"22310 RUE CANYON CT, KATY, TX 77450",29.730696999999996,-95.757573,2225,6542,284858,257728,271293,6333,256820.0
77450,"2130 WINEBERRY DR, KATY, TX 77450",29.750509,-95.723316,4440,13922,599293,527156,554901,-35110,669012.0
77450,"6222 BARKERMIST LN, KATY, TX 77450",29.708009999999998,-95.756777,2914,6947,332604,300928,316766,61,316410.0
77450,"20523 MORNING CREEK DR, KATY, TX 77450",29.750020000000003,-95.730451,3643,8635,390368,353190,371779,-727,348522.0
77450,"20818 WHITEVINE WAY, KATY, TX 77450",29.709064,-95.74575300000001,2197,6325,265886,240564,253225,6571,137030.0
77450,"6203 SANTIAGO MOUNTAIN CT, KATY, TX 77450",29.712241,-95.73745600000001,3021,17198,344586,311768,328177,1137,188190.0
77450,"3314 CINCO LAKES DR, KATY, TX 77450",29.738827,-95.75757,3628,10949,464840,420570,442705,13909,440660.0
77450,"4022 GARDEN BRANCH CT, KATY, TX 77450",29.730589000000002,-95.752724,3504,12532,420657,380595,400626,8527,373700.0
77450,"21619 WITTMAN LN, KATY, TX 77450",29.747253000000004,-95.74641700000001,3248,7200,313576,283712,298644,4154,242000.0
77450,"20711 GABLE RIDGE DR, KATY, TX 77450",29.749406,-95.731769,2898,7928,360336,309345,339940,2492,358521.0
77450,"5303 HIGHLAND FALLS LN, KATY, TX 77450",29.718696,-95.760612,4764,13019,889503,782433,823614,19522,625560.0
77450,"5214 FAIRWEATHER CT, KATY, TX 77450",29.718044,-95.751166,2946,,343663,310933,327298,10016,172870.0
77450,"5627 STATFIELD GLEN LN, KATY, TX 77450",29.74382,-95.74032,2756,8450,414573,371141,394831,3608,421600.0
77450,"22318 BELLOWS BEND DR, KATY, TX 77450",29.731434000000004,-95.756938,2637,7800,315964,285872,300918,6778,278970.0
77450,"22715 FOSSIL CREEK CIR, KATY, TX 77450",29.751288,-95.76125400000001,4168,20569,651569,571660,614688,14270,569090.0
77450,"2906 MEADOW POND DR, KATY, TX 77450",29.740918,-95.76695600000001,3775,9909,480957,435151,458054,3268,491560.0
77450,"4030 EMERALD BRANCH LN, KATY, TX 77450",29.731465999999998,-95.752252,3598,11497,452766,405334,431206,7499,481290.0
77450,"3615 ARBOR POINT CT, KATY, TX 77450",29.730874,-95.737124,2726,,337891,305711,321801,12146,176420.0
77450,"21302 BLISSFIELD LN, KATY, TX 77450",29.752091999999998,-95.738398,3340,9539,279355,252749,266052,357,263207.0
77450,"4106 SAND TER, KATY, TX 77450",29.733915999999997,-95.73984499999999,2370,8219,322808,262281,288221,5515,237630.0
77450,"21514 POINTED OAK LN, KATY, TX 77450",29.748317,-95.743963,1705,7623,206707,183084,196864,-797,191994.0
77450,"6251 PIEDRA NEGRAS CT, KATY, TX 77450",29.711418,-95.733587,2502,7200,271808,245922,258865,8112,137890.0
77450,"4011 GARDEN BRANCH CT, KATY, TX 77450",29.730263,-95.753419,3681,10783,474084,428934,451509,7865,472450.0
77450,"6107 MEADOWSTREAM CT, KATY, TX 77450",29.710148999999998,-95.74887700000001,2252,,277104,250714,263909,5857,135510.0
77450,"4531 BRANCHMEAD CT, KATY, TX 77450",29.72376,-95.755712,3620,9926,412217,372959,392588,11157,238550.0
77450,"5410 MAYBROOK PARK LN, KATY, TX 77450",29.715519,-95.764361,4312,12921,578440,523350,550895,1911,556130.0
77450,"20702 CHADBURY PARK DR, KATY, TX 77450",29.752182,-95.73120899999999,3594,8725,381700,345348,363524,-3534,360688.0
77450,"20514 WALNUT CANYON DR, KATY, TX 77450",29.710296000000003,-95.741126,2854,9600,320908,290346,305627,7057,173940.0
77450,"22511 BAY HOLLOW DR, KATY, TX 77450",29.741843,-95.76192900000001,4725,14718,744191,624589,664456,15593,668940.0
77450,"6227 CLEAR CANYON DR, KATY, TX 77450",29.711878000000002,-95.73204,2590,7801,278396,236374,262638,6858,130810.0
77450,"20506 PIONEER BEND CT, KATY, TX 77450",29.733395,-95.734526,2807,11280,337909,305727,321818,6875,322130.0
77450,"20503 INDIAN GROVE LN, KATY, TX 77450",29.73697,-95.731328,2008,6738,271166,236337,248776,-3690,216543.0
77450,"3322 CASTLEWIND DR, KATY, TX 77450",29.737201000000002,-95.75478299999999,3402,9211,426912,386254,406583,12347,386690.0
77450,"2923 NORWOOD HILLS DR, KATY, TX 77450",29.740226,-95.750485,2520,,297716,269362,283539,7492,266080.0
77450,"5914 BAILEY SPRINGS CT, KATY, TX 77450",29.710038,-95.755401,3685,10355,408442,369542,388992,3552,404070.0
77450,"22914 WINDING SHORE CT, KATY, TX 77450",29.741269,-95.766118,3925,18088,625692,530721,558654,15411,537460.0
77450,"4111 SAND TER, KATY, TX 77450",29.734008000000003,-95.739547,2395,,303625,274709,289167,15668,148530.0
77450,"2514 COTTONDALE CT, KATY, TX 77450",29.744176,-95.76260500000001,2627,11687,385889,331792,360644,2366,357230.0
77450,"2126 CHERRINGTON DR, KATY, TX 77450",29.750402,-95.765557,4404,13969,544034,492222,518128,10719,481780.0
77450,"19923 SABLE STONE CIR, KATY, TX 77450",29.750539,-95.719493,4193,9309,683511,531620,632881,1062,657985.0
77450,"22306 RUE CANYON CT, KATY, TX 77450",29.730672,-95.757448,2476,8143,306602,277402,292002,6103,269750.0
77450,"20414 CANYON SHADOW DR, KATY, TX 77450",29.710921000000003,-95.739135,2560,10920,277837,246085,264607,-3900,160960.0
77450,"2126 PARK MAPLE DR, KATY, TX 77450",29.751334999999997,-95.741277,2077,8525,221437,185202,201306,-5063,209769.0
77450,"2027 WINDING HOLLOW DR, KATY, TX 77450",29.752646999999996,-95.744298,2440,13079,273658,247596,260627,694,242701.0
77450,"2027 WINEBERRY DR, KATY, TX 77450",29.752427,-95.721616,3914,15281,514375,465387,489881,-1996,472000.0
77450,"6303 CANYON CHASE DR, KATY, TX 77450",29.711253999999997,-95.739182,2700,13556,298660,264527,284438,3151,147640.0
77450,"6603 BELMONT BND, KATY, TX 77450",29.707591999999998,-95.74576,1866,6238,230931,206738,219934,19418,108680.0
77450,"2218 LONG COVE CIR, KATY, TX 77450",29.748821999999997,-95.760685,4226,11027,552506,499886,526196,6456,521710.0
77450,"22302 ROLLING MEADOW LN, KATY, TX 77450",29.720808,-95.756776,3196,8903,380264,340427,362156,-3282,208100.0
77450,"22207 WINDING LAKE CT, KATY, TX 77450",29.736856,-95.756244,3859,11200,451258,408282,429770,38160,414910.0
77450,"21627 SAN MARINO DR, KATY, TX 77450",29.73361,-95.74614100000001,3142,7000,339695,307343,323519,6942,293640.0
77450,"21535 WILLOW GLADE DR, KATY, TX 77450",29.741978000000003,-95.74677199999999,3038,,360775,323336,340354,-14,321620.0
77450,"20626 WINLOCK TRACE DR, KATY, TX 77450",29.718564,-95.750455,2946,,340891,308425,324658,4941,229480.0
77450,"20314 MEMORIAL PASS DR, KATY, TX 77450",29.707728999999997,-95.737523,2246,7800,270872,242495,257973,15491,128930.0
77450,"21903 WHITFORD CT, KATY, TX 77450",29.722196999999998,-95.74802700000001,3175,10076,390211,353049,371630,10299,345270.0
77450,"21102 KELLIWOOD PARK LN, KATY, TX 77450",29.729033,-95.738162,4237,13281,440434,376948,396787,-9069,338630.0
77450,"2806 LARIAT CANYON CT, KATY, TX 77450",29.741865999999998,-95.733751,2198,10716,278902,252340,265621,-1232,262853.0
77450,"4114 BELVOIR PARK DR, KATY, TX 77450",29.734064,-95.738034,3052,9140,405622,344396,382662,14270,198330.0
77450,"22310 CAROLINE COVE LN, KATY, TX 77450",29.722607,-95.757372,3140,,373012,334303,351898,-13447,217880.0
77450,"21335 BRANFORD HILLS LN, KATY, TX 77450",29.752824,-95.737397,2536,6325,240411,212936,228963,-1768,218349.0
77450,"6522 STERLING CANYON DR, KATY, TX 77450",29.707931,-95.738101,3062,9144,306474,274367,291880,6667,184410.0
77450,"2411 ROSE HOLLOW DR, KATY, TX 77450",29.748996,-95.72985600000001,3360,8398,356242,322314,339278,-3414,318200.0
77450,"20222 BLACK CANYON DR, KATY, TX 77450",29.710346,-95.735884,2682,8176,285976,250904,269789,8976,141320.0
77450,"5615 STATFIELD GLEN LN, KATY, TX 77450",29.74382,-95.74032,3045,8101,382080,338414,363886,1335,386240.0
77450,"6230 CANYON ROCK WAY, KATY, TX 77450",29.711409999999997,-95.72797299999999,2477,4950,264665,239459,252062,10235,122750.0
77450,"3938 WAVERLY BND, KATY, TX 77450",29.730642,-95.763819,2256,8246,293890,265900,279895,7714,271040.0
77450,"20939 FIELD MANOR LN, KATY, TX 77450",29.707187,-95.74871,2625,6875,304169,275201,289685,1322,203220.0
77450,"3623 PARK VINE CT, KATY, TX 77450",29.730010999999998,-95.736964,2756,8791,330121,292393,314401,11362,175860.0
77450,"2002 MILL CROSSING LN, KATY, TX 77450",29.752589,-95.738739,2536,6765,192558,166300,175053,881,232409.0
77450,"6214 CANYON RUN CT, KATY, TX 77450",29.711648999999998,-95.741198,3791,11480,377073,327737,352405,10601,169960.0
77450,"3211 AUBURN HOLLOW LN, KATY, TX 77450",29.735789,-95.733018,2165,6804,241123,200936,223262,-19267,240445.0
77450,"22626 WESTBROOK CINCO LN, KATY, TX 77450",29.729028999999997,-95.764492,3537,8398,435196,393748,414472,8463,431790.0
77450,"6214 SANTIAGO MOUNTAIN CT, KATY, TX 77450",29.711799,-95.738157,3476,7813,337574,305424,321499,16351,173400.0
77450,"20530 INDIAN GROVE LN, KATY, TX 77450",29.737609999999997,-95.73232,2631,11444,284473,257381,270927,364,252252.0
77450,"20918 FIELD MANOR LN, KATY, TX 77450",29.707914000000002,-95.748335,2240,6604,301805,273061,287433,6489,300850.0
