zip,address,lat,lng,house area,lot area,high,low,estimate,month value change,property tax
77002,"410 MAIN ST, HOUSTON, TX 77002",29.760949,-95.362026,5720,,2283061,969069,1642490,7654,
77002,"104 PIERCE ST, HOUSTON, TX 77002",29.753782,-95.378433,2096,1742,481087,435269,458178,-3845,472420.0
77002,"2206 CAROLINE ST, HOUSTON, TX 77002",29.746309000000004,-95.36970600000001,1944,1721,329290,297930,313610,141,299803.0
77002,"118 PIERCE ST, HOUSTON, TX 77002",29.753552000000003,-95.37785,2014,1446,485817,439549,462683,-8990,466732.0
77002,"1212 BELL ST, HOUSTON, TX 77002",29.751981,-95.36608000000001,3437,2500,806069,729301,767685,1400,774000.0
77002,"207 GRAY ST, HOUSTON, TX 77002",29.752956,-95.378108,,,444801,163201,320001,6977,
77002,"2016 MAIN ST PH 5, HOUSTON, TX 77002",29.748853999999998,-95.371605,1084,,182282,164922,173602,-5269,174500.0
77002,"1121 WALKER ST, HOUSTON, TX 77002",29.757077000000002,-95.363029,,,392291,166426,237752,,
77002,"1401 ST JOSEPH PKWY, HOUSTON, TX 77002",29.748268,-95.366709,700,,386673,162079,231541,-12782,
77002,"4916 TRAVIS ST, HOUSTON, TX 77002",29.730105,-95.387377,2285,2500,470534,425722,448128,-9906,406740.0
77002,"2218 CAROLINE ST, HOUSTON, TX 77002",29.746240999999998,-95.36976,2471,13500,933351,683921,804613,-4084,815000.0
77002,"1301 NANCE ST, HOUSTON, TX 77002",29.768317,-95.354244,1680,5000,354512,233528,281359,1504,
77002,"2251 AUSTIN ST, HOUSTON, TX 77002",29.745368,-95.368809,1924,1797,330343,298881,314612,-3494,331080.0
77002,"609 MAIN ST, HOUSTON, TX 77002",29.759782,-95.36240699999999,948,,226021,189427,215258,-608,214533.0
77002,"2252 LA BRANCH ST, HOUSTON, TX 77002",29.745086999999998,-95.368137,2151,2670,355947,322047,338997,3301,320369.0
77002,"1314 HADLEY ST, HOUSTON, TX 77002",29.745279999999998,-95.369587,2327,1525,395303,357655,376479,2177,375000.0
77002,"4921 TRAVIS ST, HOUSTON, TX 77002",29.729805,-95.387233,2507,1875,522686,414381,470888,-20630,450000.0
77002,"4822 TRAVIS ST, HOUSTON, TX 77002",29.730921000000002,-95.386724,3003,2500,589842,533666,561754,2939,575219.0
77002,"1209 STERRETT ST, HOUSTON, TX 77002",29.767487,-95.354507,4807,2452,749746,656920,714044,-16554,627500.0
77002,"2000 SMITH ST, HOUSTON, TX 77002",29.75167,-95.374429,17676,62500,4281981,3053239,3723462,15297,3922921.0
77002,"701 TEXAS ST, HOUSTON, TX 77002",29.761618,-95.36506,685,,385787,174227,248895,474,
77002,"711 LOUISIANA ST, HOUSTON, TX 77002",29.760606,-95.365664,,4381918,698526,533420,635024,20395,496695.0
77002,"2016 MAIN ST PH 2, HOUSTON, TX 77002",29.748853999999998,-95.371605,1895,,237986,196879,216351,3107,183000.0
77002,"2016 MAIN ST PH 3, HOUSTON, TX 77002",29.748853999999998,-95.371605,3406,,442335,290172,353868,8560,299500.0
77002,"2220 MAIN ST, HOUSTON, TX 77002",29.747527,-95.37266,718,,136768,123742,130255,-3205,120490.0
77002,"1515 PEASE ST, HOUSTON, TX 77002",29.749207000000002,-95.364623,,,379941,180924,258463,1033,
