lat,lng,# Restaurants,zipcode
29.756845,-95.365652,60,77002
29.724893,-95.363752,10,77004
29.749778,-95.345885,41,77003
29.74097,-95.391301,60,77006
29.718435,-95.423555,60,77005
29.798249,-95.416933,29,77008
29.771545,-95.411083,60,77007
29.753624,-95.35981,60,77010
29.795344,-95.36759,32,77009
29.718525,-95.274137,11,77012
29.743217,-95.30911,27,77011
29.981209,-95.463971,0,77014
29.795268,-95.233977,1,77013
29.862532,-95.29998,4,77016
29.76393,-95.173121,11,77015
29.826448,-95.426267,13,77018
29.689824,-95.252393,8,77017
29.773179,-95.314327,19,77020
29.75415,-95.409498,25,77019
29.83159,-95.379554,42,77022
29.69843,-95.3569,27,77021
29.772179,-95.514203,0,77024
29.721825,-95.318275,17,77023
29.800187,-95.328888,2,77026
29.685706,-95.434764,6,77025
29.827869,-95.287485,3,77028
29.740079,-95.446409,45,77027
29.706787,-95.401748,34,77030
29.759665,-95.256251,0,77029
29.987805,-95.353412,32,77032
29.652205,-95.54623,7,77031
29.61951,-95.191644,3,77034
29.66688,-95.335133,5,77033
29.701847,-95.534537,23,77036
29.655503,-95.471663,7,77035
29.918595,-95.441194,18,77038
29.89036,-95.392527,26,77037
29.874575,-95.527099,5,77040
29.911171,-95.341182,2,77039
29.741325,-95.560254,47,77042
29.8586,-95.580768,8,77041
29.906616,-95.180608,0,77044
29.81093,-95.584639,0,77043
29.733777,-95.433346,60,77046
29.635793,-95.432889,3,77045
29.618714,-95.324221,2,77048
29.61065,-95.386863,6,77047
29.902887,-95.269296,0,77050
29.832928,-95.14904,0,77049
29.656113,-95.378696,6,77051
29.68025,-95.404913,10,77054
29.583542,-95.460693,2,77053
29.748202,-95.468948,58,77056
29.796871,-95.49165,30,77055
29.561579,-95.099626,0,77058
29.744081,-95.487974,60,77057
29.935512,-95.397624,20,77060
29.613602,-95.11937,2,77059
29.573552,-95.130613,4,77062
29.647023,-95.276656,10,77061
29.918045,-95.535685,0,77064
29.736295,-95.523292,42,77063
29.957234,-95.503258,2,77066
29.926473,-95.60379,30,77065
30.007063,-95.488362,1,77068
29.952629,-95.446609,2,77067
29.979648,-95.572877,14,77070
29.988455,-95.5312,1,77069
29.699688,-95.584817,60,77072
29.651728,-95.519919,16,77071
29.687947,-95.515725,14,77074
29.999166,-95.400119,3,77073
29.860021,-95.382184,21,77076
29.62042,-95.268939,8,77075
29.852397,-95.2541,5,77078
29.750233,-95.615383,22,77077
29.815894,-95.522885,21,77080
29.776093,-95.603037,54,77079
29.72449,-95.640002,15,77082
29.712099,-95.480935,60,77081
29.827486,-95.65992,5,77084
29.694395,-95.649569,39,77083
29.919035,-95.491607,38,77086
29.620509,-95.485333,0,77085
29.881487,-95.452619,1,77088
29.686519,-95.303917,22,77087
30.00824,-95.438996,0,77090
29.586959,-95.225601,6,77089
29.830024,-95.474409,5,77092
29.853067,-95.435966,0,77091
29.769285,-95.681292,0,77094
29.8634,-95.341409,8,77093
29.675339,-95.479372,9,77096
29.909513,-95.651476,2,77095
29.734813,-95.416098,60,77098
29.670869,-95.58599,24,77099
30.063168,-95.098858,1,77336
30.046777,-95.221022,3,77339
30.017301,-95.286217,1,77338
30.053105,-95.157943,0,77345
29.994499,-95.177499,40,77346
30.161065,-95.189809,0,77357
30.062169,-95.383966,1,77373
30.094886,-95.58583,3,77375
30.061727,-95.681504,0,77377
30.040876,-95.528914,1,77379
30.123469,-95.517064,0,77389
30.057802,-95.470985,4,77388
29.945205,-95.259778,1,77396
29.704019,-95.460905,15,77401
29.998421,-95.66736,0,77429
29.934371,-95.747578,0,77433
30.047619,-95.833733,0,77447
29.745247,-95.741783,3,77450
29.837572,-95.733754,0,77449
30.079431,-95.932255,0,77484
29.853215,-95.831456,0,77493
29.703477,-95.158895,1,77503
29.679518,-95.199783,13,77502
29.645646,-95.140307,5,77505
29.647916,-95.18978,9,77504
29.624554,-95.063488,0,77507
29.713919,-95.199702,9,77506
29.802461,-94.970322,6,77521
29.733275,-94.994118,1,77520
29.785907,-95.117207,23,77530
29.932872,-95.057187,0,77532
29.698461,-95.121268,14,77536
29.515074,-95.192133,21,77546
29.735876,-95.238178,10,77547
29.834034,-95.051267,1,77562
29.688459,-95.057379,0,77571
29.583816,-95.036166,0,77586
29.661032,-95.229784,12,77587
29.539422,-95.134995,53,77598
